timestamps,AccelerationX,AccelerationY,AccelerationZ,AngularRateX,AngularRateY,AngularRateZ,ImuValid,AltitudeValid,Altitude,AltitudeAccuracy,Speed,SpeedAccuracy,SpeedValid,TimeValid,TimeConfirmed,Epoch,FenceValid,FenceCombined,Fence1,Fence2,Fence3,Fence4,PositionAccuracy,Latitude,Longitude,PositionValid,AttitudeValid,Roll,Pitch,Heading,RollAccuracy,PitchAccuracy,HeadingAccuracy,DistanceTrip,DistanceAccuracy,DistanceValid,DistanceTotal,FixType,Satellites
,m/s^2,m/s^2,m/s^2,deg/s,deg/s,deg/s,,,m,m,m/s,m/s,,,,sec,,,,,,,m,deg,deg,,,deg,deg,deg,deg,deg,deg,m,m,,km,,
2022-05-24 06:21:48.386050048+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640000000000001,0.261,1,1,0,1653369701.0,1,0,0,0,0,0,4,56.07039399999999,10.16028,1,1,0.700000000000017,0.4000000000000057,109.5,0.30000000000000004,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.386450176+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640000000000001,0.261,1,1,0,1653369701.0,1,0,0,0,0,0,4,56.07039399999999,10.16028,1,1,0.700000000000017,0.4000000000000057,109.5,0.30000000000000004,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.386899968+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640000000000001,0.261,1,1,0,1653369701.0003374,1,0,0,0,0,0,4,56.07039399999999,10.16028,1,1,0.700000000000017,0.4000000000000057,109.5,0.30000000000000004,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.387249920+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640000000000001,0.261,1,1,0,1653369701.0005999,1,0,0,0,0,0,4,56.07039400026242,10.160280002886706,1,1,0.700000000000017,0.4000000000000057,109.5,0.30000000000000004,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.387749888+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640000000000001,0.261,1,1,0,1653369701.0009747,1,0,0,0,0,0,4,56.070394000637314,10.160280007010572,1,1,0.700000000000017,0.4000000000000057,109.5,0.30000000000000004,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.388250112+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640000000000001,0.261,1,1,0,1653369701.0013497,1,0,0,0,0,0,4,56.07039400101222,10.160280011134438,1,1,0.7000749821917466,0.3998500356165466,109.49805046301503,0.3000374910958648,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.388600064+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640000000000001,0.261,1,1,0,1653369701.0016122,1,0,0,0,0,0,4,56.07039400127464,10.160280014021144,1,1,0.7001274697259571,0.3997450605481256,109.49668578712556,0.30006373486297006,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.388900096+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.5640492632999665,0.2610098976493083,1,1,0,1653369701.001837,1,0,0,0,0,0,4,56.07039400149958,10.160280016495465,1,1,0.7001724590409949,0.3996550819180499,109.49551606493458,0.30008622952048897,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
2022-05-24 06:21:48.983300096+01:00,0.0,0.75,9.875,0.75,-0.5,5.25,1,1,79.40000000000055,2,0.6616562816331122,0.28062044014546544,1,1,0,1653369701.4475312,1,0,0,0,0,0,4,56.070394447177016,10.16028491894729,1,1,0.7893112885689769,0.22137742286207338,107.17790649720692,0.3446556442844825,0.30000000000000004,0.7000000000000001,1,2,1,290,1,0
