timestamps,AccelerationX,AccelerationY,AccelerationZ,AngularRateX,AngularRateY,AngularRateZ,ImuValid,AltitudeValid,Altitude,AltitudeAccuracy,Speed,SpeedAccuracy,SpeedValid,TimeValid,TimeConfirmed,Epoch,FenceValid,FenceCombined,Fence1,Fence2,Fence3,Fence4,PositionAccuracy,Latitude,Longitude,PositionValid,AttitudeValid,Roll,Pitch,Heading,RollAccuracy,PitchAccuracy,HeadingAccuracy,DistanceTrip,DistanceAccuracy,DistanceValid,DistanceTotal,FixType,Satellites
,m/s^2,m/s^2,m/s^2,deg/s,deg/s,deg/s,,,m,m,m/s,m/s,,,,sec,,,,,,,m,deg,deg,,,deg,deg,deg,deg,deg,deg,m,m,,km,,
2022-05-24 06:44:59.194099968+01:00,-1.75,0.625,10.125,0,-0.75,-1.25,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.294150144+01:00,-1.625,0.5,9.875,0.5,-1.25,-1.25,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.397100032+01:00,-1.375,0.625,10.25,-1,-1.25,-1.25,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.499099904+01:00,-1.375,0.625,10.125,-0.5,-1.5,-1.25,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.601100032+01:00,-1.25,0.5,10.25,-0.75,-1,-1.25,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.709149952+01:00,-1.375,0.75,10.125,-1.25,-0.75,-1.75,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.811150080+01:00,-1.25,0.625,9.875,-0.75,-0.25,-1.75,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.865349888+01:00,-1.25,0.553684211,9.946315789,-0.892631579,-0.963157895,-1.75,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.865750016+01:00,-1.25,0.553157895,9.946842105,-0.893684211,-0.968421053,-1.75,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.866200064+01:00,-1.25,0.552565789,9.947434211,-0.894868421,-0.974342105,-1.75,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.866599936+01:00,-1.25,0.552039474,9.947960526,-0.895921053,-0.979605263,-1.75,1,1,32.3,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.867049984+01:00,-1.25,0.551447368,9.948552632,-0.897105263,-0.985526316,-1.75,1,1,32.29959237,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.8,-3.9,28,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.867549952+01:00,-1.25,0.550789474,9.949210526,-0.898421053,-0.992105263,-1.75,1,1,32.29913945,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.799647746,-3.899949678,28.00005032,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.867899904+01:00,-1.25,0.550328947,9.949671053,-0.899342105,-0.996710526,-1.75,1,1,32.2988224,3,15.437,0.109,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.799401167,-3.899914452,28.00008555,0.2,0.2,0.3,8192,20,1,299,4,14
2022-05-24 06:44:59.868199936+01:00,-1.25,0.549934211,9.950065789,-0.900131579,-1.000657895,-1.75,1,1,32.29855065,3,15.43688194,0.108998792,1,1,1,1653371093,1,0,0,0,0,0,5,56.429188,10.21237,1,1,0.799189815,-3.899884259,28.00011574,0.2,0.2,0.3,8192,20,1,299,4,14
