timestamps,AccelerationX,AccelerationY,AccelerationZ,AngularRateX,AngularRateY,AngularRateZ,ImuValid,AltitudeValid,Altitude,AltitudeAccuracy,Speed,SpeedAccuracy,SpeedValid,TimeValid,TimeConfirmed,Epoch,FenceValid,FenceCombined,Fence1,Fence2,Fence3,Fence4,PositionAccuracy,Latitude,Longitude,PositionValid,AttitudeValid,Roll,Pitch,Heading,RollAccuracy,PitchAccuracy,HeadingAccuracy,DistanceTrip,DistanceAccuracy,DistanceValid,DistanceTotal,FixType,Satellites
,m/s^2,m/s^2,m/s^2,deg/s,deg/s,deg/s,,,m,m,m/s,m/s,,,,sec,,,,,,,m,deg,deg,,,deg,deg,deg,deg,deg,deg,m,m,,km,,
2022-05-24 06:34:59.080549888+01:00,0.0,0.625,10.75,2.0,-0.25,-0.25,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.184550144+01:00,0.0,1.25,9.5,2.0,1.0,-1.0,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.284499968+01:00,-0.25,0.875,9.125,-2.25,-1.0,-0.75,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.387500032+01:00,-0.5,1.0,11.0,-0.75,-2.25,-1.75,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.487549952+01:00,-1.25,0.375,10.625,-0.75,0.75,-1.5,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.589550080+01:00,-0.875,0.25,10.625,2.0,1.0,-1.0,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.700550144+01:00,-1.0,1.0,8.375,3.0,-1.5,-1.25,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.800549888+01:00,-1.125,1.0,10.375,3.75,-2.5,-1.0,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.871750144+01:00,-1.0351010101009948,0.8202020202019896,10.824494949495026,2.311616161615917,-0.8818181818179065,-1.1797979797980105,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.872150016+01:00,-1.0345959595959633,0.8191919191919268,10.827020202020183,2.303535353535414,-0.8727272727273405,-1.1808080808080732,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.999,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
2022-05-24 06:34:59.872649984+01:00,-1.0339646464646293,0.8179292929292584,10.830176767676853,2.2934343434340674,-0.8613636363633257,-1.1820707070707415,1,1,71.70000000000073,3,19.256,0.08600000000000001,1,1,1,1653370492.9994936,1,0,0,0,0,0,3,56.085915,10.186205000000001,1,1,0.700000000000017,0.0,40.1,0.2,0.2,0.30000000000000004,2322,12,1,294,4,12
